Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL,S3 URL
2023-11-12T21:34:26.000Z,P0791-03 -- Arrabawn Co-operative Society Limited,Noise Report Aug 2023.pdf,https://leap.epa.ie/docs/e65bc3e1-f341-4954-9543-8c0adf8a0dd7.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0791-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:35:10.000Z,P0035-07 -- Aughinish Alumina Limited,Quarterly Report EPA Q3 2023 (Groundwater).pdf,https://leap.epa.ie/docs/2c458c7e-a2f4-4d26-a256-61ffde77e969.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0035-07.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:34:57.000Z,P0035-07 -- Aughinish Alumina Limited,Quarterly Report EPA Q3 2023 (Air - Gas Boilers).pdf,https://leap.epa.ie/docs/3c53ca45-c6fd-4a0f-87d3-0e03373a426c.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0035-07.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:34:59.000Z,P0035-07 -- Aughinish Alumina Limited,Quarterly Report EPA Q3 2023 (Air).pdf,https://leap.epa.ie/docs/4919500d-7362-452e-a98a-68d92e3f8117.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0035-07.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:35:13.000Z,P0035-07 -- Aughinish Alumina Limited,Quarterly Report EPA Q3 2023 (Waste).pdf,https://leap.epa.ie/docs/653a70fe-549e-4274-bfbf-40d74f87a3ba.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0035-07.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:35:02.000Z,P0035-07 -- Aughinish Alumina Limited,Quarterly Report EPA Q3 2023 (Cover Letter).pdf,https://leap.epa.ie/docs/c2e77e35-acd6-4941-b5fa-4681a7b543e7.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0035-07.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:35:00.000Z,P0035-07 -- Aughinish Alumina Limited,Quarterly Report EPA Q3 2023 (Compliance Summary).pdf,https://leap.epa.ie/docs/d476ea49-51d5-4939-9dcc-4e4f25a98afa.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0035-07.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:35:15.000Z,P0035-07 -- Aughinish Alumina Limited,Quarterly Report EPA Q3 2023 (Water).pdf,https://leap.epa.ie/docs/8429e0e6-197e-44c9-8d57-3147fd0e5a64.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0035-07.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:35:08.000Z,P0035-07 -- Aughinish Alumina Limited,Quarterly Report EPA Q3 2023 (Narrative Air).pdf,https://leap.epa.ie/docs/e748b127-4aaa-4898-9b66-bbcc26d0ee46.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0035-07.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,
2023-11-12T21:34:36.000Z,P0908-01 -- C&amp;D Foods,planned expansion letter 131023.pdf,https://leap.epa.ie/docs/3133e187-37ee-4ffd-ac3b-96e08bae458e.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0908-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,
2023-11-12T21:31:46.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,"A2 CF-2 2 2023 tpm,pm10,pm2.5.pdf",https://leap.epa.ie/docs/0397608e-2a22-4696-b26d-7c47f9ae762d.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:33:48.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A1CF6 AB On 1 2023.pdf,https://leap.epa.ie/docs/0ff4c759-a7b3-4997-bf8b-3fc1abde42e2.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:32:00.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A2 CF-3 2 2023.pdf,https://leap.epa.ie/docs/1b2032b6-a6ad-439b-bb75-d715a1d304bd.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:31:32.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A2 CF-1 2 2023.pdf,https://leap.epa.ie/docs/123bd1c3-47de-4eef-8a7b-c8dd9b2250f5.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:32:11.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,"Cover letter Dryer air emissions 2023, Q2.pdf",https://leap.epa.ie/docs/30e1182c-a255-49b2-ad41-cd66c9b89ccb.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:33:49.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,Cover letter R1 Boiler Air emissions 2023.pdf,https://leap.epa.ie/docs/485486e2-9e7e-4a2d-903f-10d71e3955dd.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:32:48.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A1 CF14 1 2023.pdf,https://leap.epa.ie/docs/52bdd995-d52f-4a09-8562-46941b696a40.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:33:24.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A1CF2 BioGas 1 2023.pdf,https://leap.epa.ie/docs/52cf1e9f-950b-47bc-9f03-5d08d55c99de.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:33:45.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A1CF6 AB Off 1 2023.pdf,https://leap.epa.ie/docs/6491b02f-1e39-4b22-9b1b-4abddd70cc25.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:33:27.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A1CF2 NatGas 1 2023.pdf,https://leap.epa.ie/docs/6e90dd00-1d80-4730-832d-dbcb7aaa5188.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:32:37.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A2 CF-2 3 2023 Report.pdf,https://leap.epa.ie/docs/73f74750-cf47-4289-b42a-e166c9736174.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
2023-11-12T21:32:26.000Z,P0404-02 -- Dairygold Co-Operative Society Limited,A2 CF-1 3 2023 Report.pdf,https://leap.epa.ie/docs/7f086365-fbe2-499c-afef-e00fb60cd4df.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0404-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,
