document_url,compliance_id,document_id,document_type,title,document_date,last_updated,last_checked,metadata_json
https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=7fea91be-3f3e-f011-a373-0050568a2d1a,7fea91be-3f3e-f011-a373-0050568a2d1a,,Incident,,2025-06-10T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""7fea91be-3f3e-f011-a373-0050568a2d1a"", ""document_type"": ""Incident"", ""document_url"": ""https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=7fea91be-3f3e-f011-a373-0050568a2d1a"", ""title"": """", ""description"": ""Uncontrolled release of effluent from the creamery sump to the drain network and into the clareen stream under the production site for approx. 15 hours from 8.30 pm 30/5 until 11.15 am 31/5.Caused by both pumps tripping out.\r\n"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""incidentid\"": \""7fea91be-3f3e-f011-a373-0050568a2d1a\"", \""type\"": \""Incident\"", \""reference\"": \""INCI030429\"", \""subject\"": \""Uncontrolled Release\"", \""status\"": \""Closed\"", \""licenceid\"": \""a14c2587-0c0f-49cd-b343-78786dee2c16\"", \""licenceprofileid\"": \""1d9f7773-fd97-4aa8-9cb5-9654f20dcc81\"", \""complianceinvestigationid\"": null, \""incidentcategory\"": \""2. Limited\"", \""nature\"": \""Uncontrolled Release\"", \""vulnerablereceptors\"": \""Clareen stream and Nenagh river\"", \""receptors\"": \""Water\"", \""likelihoodofreoccurence\"": \""Low\"", \""likelycause\"": \""Failure of abatement equipment (not WWTP)\"", \""newrecurring\"": \""New\"", \""datenotified\"": \""2025-05-31T00:00:00\"", \""closeddate\"": \""2025-06-10T00:00:00\"", \""approximatestart\"": \""2025-05-30T20:30:00\"", \""firstnoticed\"": \""2025-05-31T12:00:00\"", \""finishtime\"": \""2025-05-31T11:15:00\"", \""notifiedparties\"": \""Inland Fisheries Ireland, North Tipperary County Council\"", \""dischargepoint\"": \""No\"", \""emissionpointname\"": \""n/a\"", \""uncontrolledrelease\"": \""Both pumps failed leading to uncontrolled release for 15 hours of untreated effluent into the clareen stream\"", \""description\"": \""Uncontrolled release of effluent from the creamery sump to the drain network and into the clareen stream under the production site for approx. 15 hours from 8.30 pm 30/5 until 11.15 am 31/5.Caused by both pumps tripping out.\\r\\n\"", \""otherrelevantinformation\"": \""Photos attached clareen stream entering the nenagh river with visible white plume (plume disappears on entering the Nenagh river) & downstream photo at road bridge at entrance to the swimming pool with clear water. Photos taken 31/5 at 13.30.\\r\\nSamples taken from 14.30 onwards from upstream on the nenagh river, downstream on the nenagh river and exit point of the factory in the clareen stream.\"", \""impactonenvironment\"": \""Uncontrolled release of untreated effluent from the creamery sump with a possible impact to a fish kill in the Nenagh river. \\r\\n\\r\\n\"", \""activityinprogress\"": \""Normal activities. Failure of both pumps caused by pumps tripping out.\"", \""dischargedetails\"": \""Main production site - creamery pumping station to the water treatment plant\""}""}"
https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=88f7256a-ed3d-f011-a373-0050568a2d1a,88f7256a-ed3d-f011-a373-0050568a2d1a,,Incident,,2025-05-31T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""88f7256a-ed3d-f011-a373-0050568a2d1a"", ""document_type"": ""Incident"", ""document_url"": ""https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=88f7256a-ed3d-f011-a373-0050568a2d1a"", ""title"": """", ""description"": ""Exceedance of trigger level at sw12 for Ammonia. 12.6mg/l"", ""submission_date"": """", ""status"": ""Open"", ""metadata"": ""{\""incidentid\"": \""88f7256a-ed3d-f011-a373-0050568a2d1a\"", \""type\"": \""Incident\"", \""reference\"": \""INCI030427\"", \""subject\"": \""Trigger Level Reached\"", \""status\"": \""Open\"", \""licenceid\"": \""38c9e87d-7c61-e211-9eb5-0050568a69e2\"", \""licenceprofileid\"": \""5ff95c14-6e51-49c6-8b88-0e0a54d5c705\"", \""complianceinvestigationid\"": null, \""incidentcategory\"": \""1. Minor\"", \""nature\"": \""Trigger Level Reached\"", \""vulnerablereceptors\"": \""Fergus river\"", \""receptors\"": \""Water\"", \""likelihoodofreoccurence\"": \""High\"", \""likelycause\"": \""Landfill infrastructure Failure\"", \""newrecurring\"": \""Recurring\"", \""datenotified\"": \""2025-05-31T00:00:00\"", \""closeddate\"": null, \""approximatestart\"": \""2025-03-18T00:00:00\"", \""firstnoticed\"": \""2025-03-18T00:00:00\"", \""finishtime\"": null, \""notifiedparties\"": \""\"", \""dischargepoint\"": \""No\"", \""emissionpointname\"": \""n/a\"", \""uncontrolledrelease\"": \""n/a\"", \""description\"": \""Exceedance of trigger level at sw12 for Ammonia. 12.6mg/l\"", \""otherrelevantinformation\"": null, \""impactonenvironment\"": \""Risk of damage to ecological status of water body\"", \""activityinprogress\"": \""Normal activities.\"", \""dischargedetails\"": \""SW12\""}""}"
https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=96eb2e09-f03d-f011-a373-0050568a2d1a,96eb2e09-f03d-f011-a373-0050568a2d1a,,Incident,,2025-05-31T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""96eb2e09-f03d-f011-a373-0050568a2d1a"", ""document_type"": ""Incident"", ""document_url"": ""https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=96eb2e09-f03d-f011-a373-0050568a2d1a"", ""title"": """", ""description"": ""exceedance of trigger level for ammonia at BR10. 75.61mg/l"", ""submission_date"": """", ""status"": ""Open"", ""metadata"": ""{\""incidentid\"": \""96eb2e09-f03d-f011-a373-0050568a2d1a\"", \""type\"": \""Incident\"", \""reference\"": \""INCI030428\"", \""subject\"": \""Trigger Level Reached\"", \""status\"": \""Open\"", \""licenceid\"": \""38c9e87d-7c61-e211-9eb5-0050568a69e2\"", \""licenceprofileid\"": \""5ff95c14-6e51-49c6-8b88-0e0a54d5c705\"", \""complianceinvestigationid\"": null, \""incidentcategory\"": \""1. Minor\"", \""nature\"": \""Trigger Level Reached\"", \""vulnerablereceptors\"": \""Fergus river\"", \""receptors\"": \""Water\"", \""likelihoodofreoccurence\"": \""High\"", \""likelycause\"": \""Landfill infrastructure Failure\"", \""newrecurring\"": \""Recurring\"", \""datenotified\"": \""2025-05-31T00:00:00\"", \""closeddate\"": null, \""approximatestart\"": \""2025-01-01T00:00:00\"", \""firstnoticed\"": \""2025-01-01T00:00:00\"", \""finishtime\"": null, \""notifiedparties\"": \""\"", \""dischargepoint\"": \""No\"", \""emissionpointname\"": \""n/a\"", \""uncontrolledrelease\"": \""n/a\"", \""description\"": \""exceedance of trigger level for ammonia at BR10. 75.61mg/l\"", \""otherrelevantinformation\"": null, \""impactonenvironment\"": \""Risk of damage to ecological status of water body\"", \""activityinprogress\"": \""Normal activities.\"", \""dischargedetails\"": \""BR10\""}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=178d05da-c455-f011-a373-0050568a2d1a,178d05da-c455-f011-a373-0050568a2d1a,,Site Updates/Notifications,Completion Notice of scheduled Plough Dredging at Foynes 30/06/2025,2025-06-30T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""178d05da-c455-f011-a373-0050568a2d1a"", ""document_type"": ""Site Updates/Notifications"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=178d05da-c455-f011-a373-0050568a2d1a"", ""title"": ""Completion Notice of scheduled Plough Dredging at Foynes 30/06/2025"", ""description"": ""Shannon Foynes Port Company wish to give the Environmental Protection Agency Notice of\r\ncompletion under condition 6.10 of Dumping at Sea Permit S0009-03.\r\nNo plough dredging works were carried out during the proposed dredge window of\r\n23/06/2025 to 30/06/2025."", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""178d05da-c455-f011-a373-0050568a2d1a\"", \""type\"": \""Site Updates/Notifications\"", \""reference\"": \""LR095622\"", \""subject\"": \""Site Updates/Notifications:Loading and Dumping Commencement Notice\"", \""status\"": \""Closed\"", \""licenceid\"": \""04665097-52ba-4ebb-b15b-90e8c6521e23\"", \""licenceprofileid\"": \""cde61a83-98a6-e611-8d41-0050568a69e2\"", \""datereceived\"": \""2025-06-30T00:00:00\"", \""closeddate\"": \""2025-06-30T00:00:00\"", \""title\"": \""Completion Notice of scheduled Plough Dredging at Foynes 30/06/2025\"", \""doctype\"": \""Site Updates/Notifications\"", \""docsubtype\"": \""Loading and Dumping Commencement Notice\"", \""decision\"": \""Assessed\"", \""description\"": \""Shannon Foynes Port Company wish to give the Environmental Protection Agency Notice of\\r\\ncompletion under condition 6.10 of Dumping at Sea Permit S0009-03.\\r\\nNo plough dredging works were carried out during the proposed dredge window of\\r\\n23/06/2025 to 30/06/2025.\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7943262b-c555-f011-a373-0050568a2d1a,7943262b-c555-f011-a373-0050568a2d1a,,Site Updates/Notifications,Commencement Notice for Q3 2025 proposed Plough Dredging at Foynes Harbour,2025-06-30T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""7943262b-c555-f011-a373-0050568a2d1a"", ""document_type"": ""Site Updates/Notifications"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7943262b-c555-f011-a373-0050568a2d1a"", ""title"": ""Commencement Notice for Q3 2025 proposed Plough Dredging at Foynes Harbour"", ""description"": ""Shannon Foynes Port Company wish to give the Environmental Protection Agency Notice\r\nunder condition 2.4 of Dumping at Sea Permit S0009-03 that we intend to commence\r\nplough dredging in Foynes Harbour during Q3 of 2025 (July to Sept).\r\nPlease note overleaf detailing schedule of intended plough dredging at Foynes Harbour for\r\nthe above period.\r\nPlough dredging works to be carried out by SFPC's workboat 'Shannon 1' and a\r\nCommencement Notice will be issued in advance of each campaign."", ""submission_date"": """", ""status"": ""Open"", ""metadata"": ""{\""licenseereturnid\"": \""7943262b-c555-f011-a373-0050568a2d1a\"", \""type\"": \""Site Updates/Notifications\"", \""reference\"": \""LR095623\"", \""subject\"": \""Site Updates/Notifications:Loading and Dumping Commencement Notice\"", \""status\"": \""Open\"", \""licenceid\"": \""04665097-52ba-4ebb-b15b-90e8c6521e23\"", \""licenceprofileid\"": \""cde61a83-98a6-e611-8d41-0050568a69e2\"", \""datereceived\"": \""2025-06-30T00:00:00\"", \""closeddate\"": null, \""title\"": \""Commencement Notice for Q3 2025 proposed Plough Dredging at Foynes Harbour\"", \""doctype\"": \""Site Updates/Notifications\"", \""docsubtype\"": \""Loading and Dumping Commencement Notice\"", \""decision\"": \""Assessed\"", \""description\"": \""Shannon Foynes Port Company wish to give the Environmental Protection Agency Notice\\r\\nunder condition 2.4 of Dumping at Sea Permit S0009-03 that we intend to commence\\r\\nplough dredging in Foynes Harbour during Q3 of 2025 (July to Sept).\\r\\nPlease note overleaf detailing schedule of intended plough dredging at Foynes Harbour for\\r\\nthe above period.\\r\\nPlough dredging works to be carried out by SFPC's workboat 'Shannon 1' and a\\r\\nCommencement Notice will be issued in advance of each campaign.\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7af962bc-613e-f011-a373-0050568a2d1a,7af962bc-613e-f011-a373-0050568a2d1a,,Annual Environmental Report,2024 AER ,2025-06-19T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""7af962bc-613e-f011-a373-0050568a2d1a"", ""document_type"": ""Annual Environmental Report"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7af962bc-613e-f011-a373-0050568a2d1a"", ""title"": ""2024 AER "", ""description"": ""HI See attached AER for 2024 thanks "", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""7af962bc-613e-f011-a373-0050568a2d1a\"", \""type\"": \""Annual Environmental Report\"", \""reference\"": \""LR094910\"", \""subject\"": \""Annual Environmental Report:AER\"", \""status\"": \""Closed\"", \""licenceid\"": \""2427180c-0166-e611-9a1d-0050568a69e2\"", \""licenceprofileid\"": \""aaff65ca-0066-e611-9a1d-0050568a69e2\"", \""datereceived\"": \""2025-05-31T00:00:00\"", \""closeddate\"": \""2025-06-19T00:00:00\"", \""title\"": \""2024 AER \"", \""doctype\"": \""Annual Environmental Report\"", \""docsubtype\"": \""AER\"", \""decision\"": \""Assessed\"", \""description\"": \""HI See attached AER for 2024 thanks \"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=824ec985-fc53-f011-a373-0050568a2d1a,824ec985-fc53-f011-a373-0050568a2d1a,,Site Updates/Notifications,Commencement notice late June ploughing,2025-06-28T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""824ec985-fc53-f011-a373-0050568a2d1a"", ""document_type"": ""Site Updates/Notifications"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=824ec985-fc53-f011-a373-0050568a2d1a"", ""title"": ""Commencement notice late June ploughing"", ""description"": ""Dear Sir/Madam,\r\n\r\nPort of Waterford hereby notifies the Environmental Protection Agency that our late June plough dredging maintenance campaign will commence later today Saturday 28th June 2025. The vessel to be used for the operation is the Fastnet Sound.   \r\n\r\nSincerely,\r\nIan Moriarty"", ""submission_date"": """", ""status"": ""Open"", ""metadata"": ""{\""licenseereturnid\"": \""824ec985-fc53-f011-a373-0050568a2d1a\"", \""type\"": \""Site Updates/Notifications\"", \""reference\"": \""LR095584\"", \""subject\"": \""Site Updates/Notifications:Loading and Dumping Commencement Notice\"", \""status\"": \""Open\"", \""licenceid\"": \""a315b192-5ad4-42b7-a167-962202f5e2f8\"", \""licenceprofileid\"": \""d3e61a83-98a6-e611-8d41-0050568a69e2\"", \""datereceived\"": \""2025-06-28T00:00:00\"", \""closeddate\"": null, \""title\"": \""Commencement notice late June ploughing\"", \""doctype\"": \""Site Updates/Notifications\"", \""docsubtype\"": \""Loading and Dumping Commencement Notice\"", \""decision\"": \""Assessed\"", \""description\"": \""Dear Sir/Madam,\\r\\n\\r\\nPort of Waterford hereby notifies the Environmental Protection Agency that our late June plough dredging maintenance campaign will commence later today Saturday 28th June 2025. The vessel to be used for the operation is the Fastnet Sound.   \\r\\n\\r\\nSincerely,\\r\\nIan Moriarty\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=b9a193aa-c455-f011-a373-0050568a2d1a,b9a193aa-c455-f011-a373-0050568a2d1a,,Site Updates/Notifications,Completion Notice of scheduled Plough Dredging at Foynes 16/06/2025,2025-06-30T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""b9a193aa-c455-f011-a373-0050568a2d1a"", ""document_type"": ""Site Updates/Notifications"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=b9a193aa-c455-f011-a373-0050568a2d1a"", ""title"": ""Completion Notice of scheduled Plough Dredging at Foynes 16/06/2025"", ""description"": ""Shannon Foynes Port Company wish to give the Environmental Protection Agency Notice of\r\ncompletion under condition 6.10 of Dumping at Sea Permit S0009-03.\r\nNo plough dredging works were carried out during the proposed dredge window of\r\n09/06/2025 to 16/06/2025."", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""b9a193aa-c455-f011-a373-0050568a2d1a\"", \""type\"": \""Site Updates/Notifications\"", \""reference\"": \""LR095619\"", \""subject\"": \""Site Updates/Notifications:Loading and Dumping Commencement Notice\"", \""status\"": \""Closed\"", \""licenceid\"": \""04665097-52ba-4ebb-b15b-90e8c6521e23\"", \""licenceprofileid\"": \""cde61a83-98a6-e611-8d41-0050568a69e2\"", \""datereceived\"": \""2025-06-30T00:00:00\"", \""closeddate\"": \""2025-06-30T00:00:00\"", \""title\"": \""Completion Notice of scheduled Plough Dredging at Foynes 16/06/2025\"", \""doctype\"": \""Site Updates/Notifications\"", \""docsubtype\"": \""Loading and Dumping Commencement Notice\"", \""decision\"": \""Assessed\"", \""description\"": \""Shannon Foynes Port Company wish to give the Environmental Protection Agency Notice of\\r\\ncompletion under condition 6.10 of Dumping at Sea Permit S0009-03.\\r\\nNo plough dredging works were carried out during the proposed dredge window of\\r\\n09/06/2025 to 16/06/2025.\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=c479a14d-1616-f011-a373-0050568a2d1a,c479a14d-1616-f011-a373-0050568a2d1a,,Site Updates/Notifications,WFD Significant Industrial & Waste Pressure Sites - Data Collection ,2025-06-30T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""c479a14d-1616-f011-a373-0050568a2d1a"", ""document_type"": ""Site Updates/Notifications"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=c479a14d-1616-f011-a373-0050568a2d1a"", ""title"": ""WFD Significant Industrial & Waste Pressure Sites - Data Collection "", ""description"": ""Dear Inspector \r\nPlease see attached excel files containing data from 2024 groundwater monitoring Q2 to Q3 as requested. \r\nKind regards\r\nLorraine "", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""c479a14d-1616-f011-a373-0050568a2d1a\"", \""type\"": \""Site Updates/Notifications\"", \""reference\"": \""LR093356\"", \""subject\"": \""Site Updates/Notifications:Other\"", \""status\"": \""Closed\"", \""licenceid\"": \""78d144ad-5e41-4041-bcb9-23112423ae9e\"", \""licenceprofileid\"": \""a45f794a-3739-4e72-b6ea-1dea48efc0fe\"", \""datereceived\"": \""2025-04-10T00:00:00\"", \""closeddate\"": \""2025-06-30T00:00:00\"", \""title\"": \""WFD Significant Industrial & Waste Pressure Sites - Data Collection \"", \""doctype\"": \""Site Updates/Notifications\"", \""docsubtype\"": \""Other\"", \""decision\"": \""Assessed\"", \""description\"": \""Dear Inspector \\r\\nPlease see attached excel files containing data from 2024 groundwater monitoring Q2 to Q3 as requested. \\r\\nKind regards\\r\\nLorraine \"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=dc1eec7d-1616-f011-a373-0050568a2d1a,dc1eec7d-1616-f011-a373-0050568a2d1a,,Site Updates/Notifications,WFD Significant Industrial & Waste Pressure Sites - Data Collection ,2025-06-30T00:00:00+00:00,2025-07-01T03:18:07.420928+00:00,2025-07-01T03:18:07.420928+00:00,"{""compliance_id"": ""dc1eec7d-1616-f011-a373-0050568a2d1a"", ""document_type"": ""Site Updates/Notifications"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=dc1eec7d-1616-f011-a373-0050568a2d1a"", ""title"": ""WFD Significant Industrial & Waste Pressure Sites - Data Collection "", ""description"": ""Dear Inspector \r\nPlease see attached excel files containing data from 2024 groundwater monitoring Q4 as requested. \r\nKind regards\r\nLorraine "", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""dc1eec7d-1616-f011-a373-0050568a2d1a\"", \""type\"": \""Site Updates/Notifications\"", \""reference\"": \""LR093358\"", \""subject\"": \""Site Updates/Notifications:Other\"", \""status\"": \""Closed\"", \""licenceid\"": \""78d144ad-5e41-4041-bcb9-23112423ae9e\"", \""licenceprofileid\"": \""a45f794a-3739-4e72-b6ea-1dea48efc0fe\"", \""datereceived\"": \""2025-04-10T00:00:00\"", \""closeddate\"": \""2025-06-30T00:00:00\"", \""title\"": \""WFD Significant Industrial & Waste Pressure Sites - Data Collection \"", \""doctype\"": \""Site Updates/Notifications\"", \""docsubtype\"": \""Other\"", \""decision\"": \""Assessed\"", \""description\"": \""Dear Inspector \\r\\nPlease see attached excel files containing data from 2024 groundwater monitoring Q4 as requested. \\r\\nKind regards\\r\\nLorraine \"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
