document_url,compliance_id,document_id,document_type,title,document_date,last_updated,last_checked,metadata_json,exported,export_date
https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=6c37cdf7-7d40-f011-a373-0050568a2d1a,6c37cdf7-7d40-f011-a373-0050568a2d1a,,Complaint,,2025-06-02T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""6c37cdf7-7d40-f011-a373-0050568a2d1a"", ""document_type"": ""Complaint"", ""document_url"": ""https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=6c37cdf7-7d40-f011-a373-0050568a2d1a"", ""title"": """", ""description"": """", ""submission_date"": """", ""status"": ""Open"", ""metadata"": ""{\""complaintid\"": \""6c37cdf7-7d40-f011-a373-0050568a2d1a\"", \""type\"": \""Complaint\"", \""reference\"": \""COM021021\"", \""subject\"": \""Bad Smell from Swords WWTP\"", \""status\"": \""Open\"", \""licenceid\"": \""261d76ab-203e-e111-ab87-0050568a69e2\"", \""licenceprofileid\"": \""b6f6a05d-2001-434b-bbf5-49e2a3c8e6c2\"", \""datereceived\"": \""2025-06-02T00:00:00\"", \""closeddate\"": null, \""complianceinvestigationid\"": \""82c53f1f-5f2d-ef11-a368-0050568a2d1a\"", \""dateoccurred\"": \""2025-06-02T00:00:00\"", \""durationofoccurance\"": \""Bad odour observed in the morning\""}""}",0,
https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=76b60306-c03f-f011-a373-0050568a2d1a,76b60306-c03f-f011-a373-0050568a2d1a,,Complaint,,2025-07-02T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""76b60306-c03f-f011-a373-0050568a2d1a"", ""document_type"": ""Complaint"", ""document_url"": ""https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=76b60306-c03f-f011-a373-0050568a2d1a"", ""title"": """", ""description"": """", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""complaintid\"": \""76b60306-c03f-f011-a373-0050568a2d1a\"", \""type\"": \""Complaint\"", \""reference\"": \""COM021011\"", \""subject\"": \""W0146-04, 02/06/2025, Air Quality\"", \""status\"": \""Closed\"", \""licenceid\"": \""d090c9dc-0dd0-4202-86ea-f867a055f8bf\"", \""licenceprofileid\"": \""8a684cb8-e7fb-4d81-b843-20ffd7f4aeeb\"", \""datereceived\"": \""2025-06-02T00:00:00\"", \""closeddate\"": \""2025-07-02T00:00:00\"", \""complianceinvestigationid\"": null, \""dateoccurred\"": \""2025-06-02T00:00:00\"", \""durationofoccurance\"": \""On-going\""}""}",0,
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1470d54d-cbdf-ef11-a372-0050568a2d1a,1470d54d-cbdf-ef11-a372-0050568a2d1a,,Monitoring Returns,2024 HMPL Toxicity Monitoring return,2025-07-02T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""1470d54d-cbdf-ef11-a372-0050568a2d1a"", ""document_type"": ""Monitoring Returns"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1470d54d-cbdf-ef11-a372-0050568a2d1a"", ""title"": ""2024 HMPL Toxicity Monitoring return"", ""description"": ""RE: Reg. No: 145 Acute Toxicity Test Report 2024 for Effluent Monitoring\r\n\r\nTo whom it may concern, \r\n\r\nPlease find attached the results of the Acute Toxicity Test conducted on HMPL\u2019s final liquid effluent. This test was performed in accordance with the monitoring requirements outlined in IPC Licence Reg. No. 145.\r\n\r\nYours sincerely,\r\n"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""1470d54d-cbdf-ef11-a372-0050568a2d1a\"", \""type\"": \""Monitoring Returns\"", \""reference\"": \""LR090591\"", \""subject\"": \""Monitoring Returns:Toxicity\"", \""status\"": \""Closed\"", \""licenceid\"": \""c2c5e87d-7c61-e211-9eb5-0050568a69e2\"", \""licenceprofileid\"": \""d8574c18-c859-4f36-a0b0-3e93f96bc2f0\"", \""datereceived\"": \""2025-01-31T00:00:00\"", \""closeddate\"": \""2025-07-02T00:00:00\"", \""title\"": \""2024 HMPL Toxicity Monitoring return\"", \""doctype\"": \""Monitoring Returns\"", \""docsubtype\"": \""Toxicity\"", \""decision\"": \""Assessed\"", \""description\"": \""RE: Reg. No: 145 Acute Toxicity Test Report 2024 for Effluent Monitoring\\r\\n\\r\\nTo whom it may concern, \\r\\n\\r\\nPlease find attached the results of the Acute Toxicity Test conducted on HMPL\\u2019s final liquid effluent. This test was performed in accordance with the monitoring requirements outlined in IPC Licence Reg. No. 145.\\r\\n\\r\\nYours sincerely,\\r\\n\"", \""documentcategory\"": \""Compliant\"", \""complianceinvestigationid\"": null}""}",0,
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1a6f9458-c116-f011-a373-0050568a2d1a,1a6f9458-c116-f011-a373-0050568a2d1a,,Requests for Approval and Site Reports,PRTR Confidentiality Return,2025-04-11T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""1a6f9458-c116-f011-a373-0050568a2d1a"", ""document_type"": ""Requests for Approval and Site Reports"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1a6f9458-c116-f011-a373-0050568a2d1a"", ""title"": ""PRTR Confidentiality Return"", ""description"": ""Dear Sir/Madam,\r\n\r\nPlease see attached completed confidentiality form for KMK Metals Recycling to go with the recent AER and EPR submission and data contained within.\r\n\r\nShould you have any further questions, please feel free to contact me.\r\n\r\nYours Sincerely,\r\n\r\nEamonn Pidgeon\r\n\r\nCompliance Manager"", ""submission_date"": """", ""status"": ""Open"", ""metadata"": ""{\""licenseereturnid\"": \""1a6f9458-c116-f011-a373-0050568a2d1a\"", \""type\"": \""Requests for Approval and Site Reports\"", \""reference\"": \""LR093417\"", \""subject\"": \""Requests for Approval (RFA) and Site Reports:Other\"", \""status\"": \""Open\"", \""licenceid\"": \""3c2fc30d-2594-41c0-8a1f-5dfe9facfa30\"", \""licenceprofileid\"": \""4f96e519-9176-4caf-8dc8-67f93ae4a83a\"", \""datereceived\"": \""2025-04-11T00:00:00\"", \""closeddate\"": null, \""title\"": \""PRTR Confidentiality Return\"", \""doctype\"": \""Requests for Approval (RFA) and Site Reports\"", \""docsubtype\"": \""Other\"", \""decision\"": null, \""description\"": \""Dear Sir/Madam,\\r\\n\\r\\nPlease see attached completed confidentiality form for KMK Metals Recycling to go with the recent AER and EPR submission and data contained within.\\r\\n\\r\\nShould you have any further questions, please feel free to contact me.\\r\\n\\r\\nYours Sincerely,\\r\\n\\r\\nEamonn Pidgeon\\r\\n\\r\\nCompliance Manager\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}",0,
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=73c02041-c83f-f011-a373-0050568a2d1a,73c02041-c83f-f011-a373-0050568a2d1a,,Site Updates/Notifications,Air Emissions,2025-06-09T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""73c02041-c83f-f011-a373-0050568a2d1a"", ""document_type"": ""Site Updates/Notifications"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=73c02041-c83f-f011-a373-0050568a2d1a"", ""title"": ""Air Emissions"", ""description"": ""Please note that the site is going into a period of lower production and therefore we will not be able to perform our expected air emission monitoring, every six months. What we will look to do is carry out the testing whenever the two Distilleries are fully operational, which may not be until December. Please also consider this should the EPA wish to come and take samples."", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""73c02041-c83f-f011-a373-0050568a2d1a\"", \""type\"": \""Site Updates/Notifications\"", \""reference\"": \""LR094914\"", \""subject\"": \""Site Updates/Notifications:Shut down periods\"", \""status\"": \""Closed\"", \""licenceid\"": \""52aa1b62-c4f6-e311-a411-0050568a69e2\"", \""licenceprofileid\"": \""c89eee77-a9b6-44f3-9f6c-4745330ef281\"", \""datereceived\"": \""2025-06-02T00:00:00\"", \""closeddate\"": \""2025-06-09T00:00:00\"", \""title\"": \""Air Emissions\"", \""doctype\"": \""Site Updates/Notifications\"", \""docsubtype\"": \""Shut down periods\"", \""decision\"": \""Assessed\"", \""description\"": \""Please note that the site is going into a period of lower production and therefore we will not be able to perform our expected air emission monitoring, every six months. What we will look to do is carry out the testing whenever the two Distilleries are fully operational, which may not be until December. Please also consider this should the EPA wish to come and take samples.\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}",0,
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=74ceaf01-6006-f011-a373-0050568a2d1a,74ceaf01-6006-f011-a373-0050568a2d1a,,Monitoring Returns,Q1-2025 Results for MW 4,2025-07-02T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""74ceaf01-6006-f011-a373-0050568a2d1a"", ""document_type"": ""Monitoring Returns"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=74ceaf01-6006-f011-a373-0050568a2d1a"", ""title"": ""Q1-2025 Results for MW 4"", ""description"": ""Hi Suzanne\r\n\r\nPlease find attached the Q1-2025 monitoring results for MW 4.\r\n\r\nKind Regards"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""74ceaf01-6006-f011-a373-0050568a2d1a\"", \""type\"": \""Monitoring Returns\"", \""reference\"": \""LR092203\"", \""subject\"": \""Monitoring Returns:Groundwater\"", \""status\"": \""Closed\"", \""licenceid\"": \""7a36ecd5-5fd4-4c16-845d-2a90c832e457\"", \""licenceprofileid\"": \""4f1f67a4-0f13-4d2d-a451-d546f03f1cb4\"", \""datereceived\"": \""2025-03-21T00:00:00\"", \""closeddate\"": \""2025-07-02T00:00:00\"", \""title\"": \""Q1-2025 Results for MW 4\"", \""doctype\"": \""Monitoring Returns\"", \""docsubtype\"": \""Groundwater\"", \""decision\"": \""Assessed\"", \""description\"": \""Hi Suzanne\\r\\n\\r\\nPlease find attached the Q1-2025 monitoring results for MW 4.\\r\\n\\r\\nKind Regards\"", \""documentcategory\"": \""Compliant\"", \""complianceinvestigationid\"": null}""}",0,
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=992a4686-c016-f011-a373-0050568a2d1a,992a4686-c016-f011-a373-0050568a2d1a,,Requests for Approval and Site Reports,PRTR Confidentiality Form,2025-04-11T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""992a4686-c016-f011-a373-0050568a2d1a"", ""document_type"": ""Requests for Approval and Site Reports"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=992a4686-c016-f011-a373-0050568a2d1a"", ""title"": ""PRTR Confidentiality Form"", ""description"": ""Dear Sir/Madam,\r\n\r\nPlease see attached completed confidentiality form for KMK Metals Recycling to go with the recent AER and EPR submission and data contained within.\r\n\r\nShould you have any further questions, please feel free to contact me.\r\n\r\nYours Sincerely,\r\n\r\nEamonn Pidgeon\r\n\r\nCompliance Manager"", ""submission_date"": """", ""status"": ""Open"", ""metadata"": ""{\""licenseereturnid\"": \""992a4686-c016-f011-a373-0050568a2d1a\"", \""type\"": \""Requests for Approval and Site Reports\"", \""reference\"": \""LR093415\"", \""subject\"": \""Requests for Approval (RFA) and Site Reports:Other\"", \""status\"": \""Open\"", \""licenceid\"": \""94cdf9c0-c72f-4e3c-965d-4cb1cda1a1d7\"", \""licenceprofileid\"": \""33b1273a-4671-4244-9781-3188b783a996\"", \""datereceived\"": \""2025-04-11T00:00:00\"", \""closeddate\"": null, \""title\"": \""PRTR Confidentiality Form\"", \""doctype\"": \""Requests for Approval (RFA) and Site Reports\"", \""docsubtype\"": \""Other\"", \""decision\"": null, \""description\"": \""Dear Sir/Madam,\\r\\n\\r\\nPlease see attached completed confidentiality form for KMK Metals Recycling to go with the recent AER and EPR submission and data contained within.\\r\\n\\r\\nShould you have any further questions, please feel free to contact me.\\r\\n\\r\\nYours Sincerely,\\r\\n\\r\\nEamonn Pidgeon\\r\\n\\r\\nCompliance Manager\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}",0,
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=9dab33c7-f5ea-ef11-a372-0050568a2d1a,9dab33c7-f5ea-ef11-a372-0050568a2d1a,,Requests for Approval and Site Reports,Request to upgrade HFO tanks and Bunds,2025-07-02T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""9dab33c7-f5ea-ef11-a372-0050568a2d1a"", ""document_type"": ""Requests for Approval and Site Reports"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=9dab33c7-f5ea-ef11-a372-0050568a2d1a"", ""title"": ""Request to upgrade HFO tanks and Bunds"", ""description"": ""Dear Joshua,\r\n\r\n\r\nThe ESB (Electricity Supply Board) has agreed a Targeted Contacting Mechanism agreement with Eirgrid to operate as an out of market generator post July 2025. It is planned that the site will transition from combustion of coal as a primary fuel source to combustion of heavy fuel oil in 2025. Planning application has been granted by An Bord Plean\u00e1la under  ABP-319080-24.\r\n\r\n\r\nESB are submitting the following condition 1.4 request for installation of 2 no. new HFO storage tanks with 25,000 tonnes capacity in each tank, these will be located within the footprint of 2 no. existing bunds. The works will require \r\nthe expansion of the volume of the current bunds and alteration of the existing structures to meet \r\nwith the current standards for secondary containment of substances harmful to the environment.\r\n\r\nShould you have any queries on the attached, please do not hesitate to reach out.\r\n\r\nKind regards,\r\nGemma"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""9dab33c7-f5ea-ef11-a372-0050568a2d1a\"", \""type\"": \""Requests for Approval and Site Reports\"", \""reference\"": \""LR091135\"", \""subject\"": \""Requests for Approval (RFA) and Site Reports:Other\"", \""status\"": \""Closed\"", \""licenceid\"": \""26f6aad0-c4ad-4889-beb1-7a812800033c\"", \""licenceprofileid\"": \""d7347f12-ed09-4cff-b9e0-6b40203819d8\"", \""datereceived\"": \""2025-02-14T00:00:00\"", \""closeddate\"": \""2025-07-02T00:00:00\"", \""title\"": \""Request to upgrade HFO tanks and Bunds\"", \""doctype\"": \""Requests for Approval (RFA) and Site Reports\"", \""docsubtype\"": \""Other\"", \""decision\"": \""Withdrawn\"", \""description\"": \""Dear Joshua,\\r\\n\\r\\n\\r\\nThe ESB (Electricity Supply Board) has agreed a Targeted Contacting Mechanism agreement with Eirgrid to operate as an out of market generator post July 2025. It is planned that the site will transition from combustion of coal as a primary fuel source to combustion of heavy fuel oil in 2025. Planning application has been granted by An Bord Plean\\u00e1la under  ABP-319080-24.\\r\\n\\r\\n\\r\\nESB are submitting the following condition 1.4 request for installation of 2 no. new HFO storage tanks with 25,000 tonnes capacity in each tank, these will be located within the footprint of 2 no. existing bunds. The works will require \\r\\nthe expansion of the volume of the current bunds and alteration of the existing structures to meet \\r\\nwith the current standards for secondary containment of substances harmful to the environment.\\r\\n\\r\\nShould you have any queries on the attached, please do not hesitate to reach out.\\r\\n\\r\\nKind regards,\\r\\nGemma\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}",0,
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=ccceef6c-a31b-f011-a373-0050568a2d1a,ccceef6c-a31b-f011-a373-0050568a2d1a,,Requests for Approval and Site Reports,Tarbert Next Generation (TNG) Project Construction Activities,2025-07-02T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""ccceef6c-a31b-f011-a373-0050568a2d1a"", ""document_type"": ""Requests for Approval and Site Reports"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=ccceef6c-a31b-f011-a373-0050568a2d1a"", ""title"": ""Tarbert Next Generation (TNG) Project Construction Activities"", ""description"": ""Dear Inspector, \r\n\r\nPlease find attached a Construction Environmental Management Plan (CEMP) for Tarbert Next Generation (TNG) Project construction activities. \r\n\r\nPlease don\u2019t hesitate to contact me if you need any further information on this. \r\n\r\nYours sincerely, \r\n\r\nCaroline O'Connell\r\n"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""ccceef6c-a31b-f011-a373-0050568a2d1a\"", \""type\"": \""Requests for Approval and Site Reports\"", \""reference\"": \""LR093711\"", \""subject\"": \""Requests for Approval (RFA) and Site Reports:Condition 1 changes\"", \""status\"": \""Closed\"", \""licenceid\"": \""76c7e87d-7c61-e211-9eb5-0050568a69e2\"", \""licenceprofileid\"": \""e9a6535c-db1a-457f-894c-d91dc04b6ba8\"", \""datereceived\"": \""2025-04-17T00:00:00\"", \""closeddate\"": \""2025-07-02T00:00:00\"", \""title\"": \""Tarbert Next Generation (TNG) Project Construction Activities\"", \""doctype\"": \""Requests for Approval (RFA) and Site Reports\"", \""docsubtype\"": \""Condition 1 changes\"", \""decision\"": \""Approved\"", \""description\"": \""Dear Inspector, \\r\\n\\r\\nPlease find attached a Construction Environmental Management Plan (CEMP) for Tarbert Next Generation (TNG) Project construction activities. \\r\\n\\r\\nPlease don\\u2019t hesitate to contact me if you need any further information on this. \\r\\n\\r\\nYours sincerely, \\r\\n\\r\\nCaroline O'Connell\\r\\n\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}",0,
https://data.epa.ie/leap/api/v1/MeetingCorrespondence/meetingbyid?meeting_id=3b7f569a-e998-429a-822f-c0f20514ba49,3b7f569a-e998-429a-822f-c0f20514ba49,,Meeting,,2025-04-07T00:00:00+00:00,2025-07-03T03:06:15.483174+00:00,2025-07-03T03:06:15.483174+00:00,"{""compliance_id"": ""3b7f569a-e998-429a-822f-c0f20514ba49"", ""document_type"": ""Meeting"", ""document_url"": ""https://data.epa.ie/leap/api/v1/MeetingCorrespondence/meetingbyid?meeting_id=3b7f569a-e998-429a-822f-c0f20514ba49"", ""title"": """", ""description"": """", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""meetingid\"": \""3b7f569a-e998-429a-822f-c0f20514ba49\"", \""type\"": \""Meeting\"", \""reference\"": \""MTG000747\"", \""subject\"": \""P0738-03, Vermilion waste management meeting\"", \""status\"": \""Closed\"", \""meetingdate\"": \""2025-04-07T00:00:00\"", \""organisationid\"": \""f878ad2c-b276-e211-9eb5-0050568a69e2\"", \""location\"": \""MS Teams\"", \""regarding\"": \""Other\"", \""meetingtime\"": \""11:15\"", \""attendeesepa\"": \""Mick Henry - Regional Manager\\nKealan Reynolds - Team Lead / Inspector\\nCatherine Organo - Radiation Protection Regulation Inspector\\nIsabel Kerins - Inspector\"", \""attendeesnoepa\"": \""Catriona King - Environmental Advisor\\nVincent Lang - Laboratory Team Lead\\nTony Reilly - Production Manager\\nDavina Burke - Health and Safety Manager\"", \""actionitems\"": \""<p>This meeting was held to discuss the licensee progress on finalising suitable disposal / recovery options available to them with regards to the on-site naturally occurring radiological material (NORM) waste being stored at the site.&nbsp;</p>\"", \""licenceid\"": \""2e08f37a-e7c6-42d4-8ca0-b6e18b31a399\"", \""originalmeetingid\"": \""37f2bf54-5915-f011-a373-0050568a2d1a\"", \""organisationname\"": \""Vermilion Exploration and Production Ireland Limited\""}""}",0,
