licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Decotek Automotive Limited - P0690,Incident,,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=0a55e841-bd21-f011-a373-0050568a2d1a,P0690,2c551f0e-eb4b-457c-9d4e-54d689f192f4
Balbriggan - D0023,Incident,,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=109fa85b-e821-f011-a373-0050568a2d1a,D0023,be170d92-a967-4d47-bcfa-6ef7f147d8a9
Allenwood - D0493,Incident,,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=14f59b37-ad21-f011-a373-0050568a2d1a,D0493,9cb217c7-9726-4cd7-9274-180b04867c84
Electricity Supply Board (Moneypoint) - P0605,Incident,,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=2bf6c3dd-f321-f011-a373-0050568a2d1a,P0605,d7347f12-ed09-4cff-b9e0-6b40203819d8
Ballybofey-Stranorlar - D0120,Incident,,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=52a5fbce-eb21-f011-a373-0050568a2d1a,D0120,9586e6e7-c9c0-4c5a-8bdb-5f462f1b9f8e
Howmedica International S.de R.L. Trading As Stryker Orthopaedics - P0023,Incident,,2025-04-25T00:00:00+00:00,Closed,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=53c225f7-d121-f011-a373-0050568a2d1a,P0023,126ab282-3315-4a6f-9777-c7fccd99abbc
Ringsend - D0034,Incident,,2025-04-25T00:00:00+00:00,Closed,2025-04-24T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=84562fce-2321-f011-a373-0050568a2d1a,D0034,188b6e9c-77a4-4dd9-895c-17080f6af298
Killurin Landfill Site - W0016,Incident,,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=a0333e60-d921-f011-a373-0050568a2d1a,W0016,8806f978-3a88-4e2e-81ab-3171e598d4bc
Moylough - D0403,Incident,,2025-04-25T00:00:00+00:00,Closed,2025-04-17T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=b00e5325-a11b-f011-a373-0050568a2d1a,D0403,15652eb8-1def-4021-aebc-957002218282
JANSSEN SCIENCES IRELAND UC - P0778,Incident,,2025-04-25T00:00:00+00:00,Closed,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=bfa8cb7b-e721-f011-a373-0050568a2d1a,P0778,ff8e8bb5-cf35-4fb1-a789-af7571da741d
Naul - A0103,Incident,,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=cdd25fce-e921-f011-a373-0050568a2d1a,A0103,a661dd26-93ed-4bf1-a398-0fb782bbdc78
International Aerospace Coatings Limited - P0497,Incident,,2025-04-25T00:00:00+00:00,Closed,2025-04-18T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=d6c606c5-3a1c-f011-a373-0050568a2d1a,P0497,cf63bf56-c643-44da-a256-0dee80727507
Holmestown Waste Management Facility - W0191,Incident,,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=e8bbe118-df21-f011-a373-0050568a2d1a,W0191,cc7d3f43-b6e6-413a-b51e-64cd4f8a5fae
Janssen Pharmaceutical Sciences UC - P0016,Incident,,2025-04-25T00:00:00+00:00,Closed,2025-04-22T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=f190d0d7-441f-f011-a373-0050568a2d1a,P0016,41c94cd2-239f-4687-9bb2-b8ef6ceb0bec
"Brewery, Chemical and Dairy Engineering Limited - P0283",Site Updates/Notifications,Change Request CR 12249,2025-04-25T00:00:00+00:00,Open,2025-04-25T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=10cdeb29-de21-f011-a373-0050568a2d1a,P0283,6fcd892d-ffe5-4837-8956-8c160e0de58b
Dunleer - D0111,Site Updates/Notifications,OEE- SV32286 Effluent and Ambient Data,2025-04-25T00:00:00+00:00,Closed,2025-04-22T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=18a7b020-931f-f011-a373-0050568a2d1a,D0111,30a57593-441a-41fd-81f8-94f607fd4f54
