document_url,title,document_date,document_type,compliance_id,last_updated,last_checked,metadata_json
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=3effc311-0021-f011-a373-0050568a2d1a,AER 2024,2025-06-24T00:00:00+00:00,Annual Environmental Report,3effc311-0021-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""3effc311-0021-f011-a373-0050568a2d1a"", ""document_type"": ""Annual Environmental Report"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=3effc311-0021-f011-a373-0050568a2d1a"", ""title"": ""AER 2024"", ""description"": ""AER 2024"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""3effc311-0021-f011-a373-0050568a2d1a\"", \""type\"": \""Annual Environmental Report\"", \""reference\"": \""LR093857\"", \""subject\"": \""Annual Environmental Report:AER\"", \""status\"": \""Closed\"", \""licenceid\"": \""301e76ab-203e-e111-ab87-0050568a69e2\"", \""licenceprofileid\"": \""0a85823a-db9d-4bbd-bf4f-da18050b4f59\"", \""datereceived\"": \""2025-04-24T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""AER 2024\"", \""doctype\"": \""Annual Environmental Report\"", \""docsubtype\"": \""AER\"", \""decision\"": \""Assessed\"", \""description\"": \""AER 2024\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4036d159-b316-f011-a373-0050568a2d1a,AER 2024,2025-06-24T00:00:00+00:00,Annual Environmental Report,4036d159-b316-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""4036d159-b316-f011-a373-0050568a2d1a"", ""document_type"": ""Annual Environmental Report"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4036d159-b316-f011-a373-0050568a2d1a"", ""title"": ""AER 2024"", ""description"": ""AER 2024"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""4036d159-b316-f011-a373-0050568a2d1a\"", \""type\"": \""Annual Environmental Report\"", \""reference\"": \""LR093402\"", \""subject\"": \""Annual Environmental Report:AER\"", \""status\"": \""Closed\"", \""licenceid\"": \""202076ab-203e-e111-ab87-0050568a69e2\"", \""licenceprofileid\"": \""97e3f612-89da-4660-8087-28ed279770c8\"", \""datereceived\"": \""2025-04-11T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""AER 2024\"", \""doctype\"": \""Annual Environmental Report\"", \""docsubtype\"": \""AER\"", \""decision\"": \""Assessed\"", \""description\"": \""AER 2024\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=415298c6-6d10-f011-a373-0050568a2d1a,2025 slope stability survey ,2025-06-24T00:00:00+00:00,Monitoring Returns,415298c6-6d10-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""415298c6-6d10-f011-a373-0050568a2d1a"", ""document_type"": ""Monitoring Returns"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=415298c6-6d10-f011-a373-0050568a2d1a"", ""title"": ""2025 slope stability survey "", ""description"": ""Please see attached slope stability assessment for Dungarvan 2025. Please note Fehily Timoney has noted slope 1 is unstable this has previously been notified to the agency by Waterford City & County council and is under review with RPS. These works are tracking under CI002185. Fehily Timoney have also noted leaching at slope 6 which is tracking via INCI027218 it is recommended the ICW levels are reduced to eliminate this a contributing factor to this leaching works are ongoing to progress same and updates will be issued via INCI027218."", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""415298c6-6d10-f011-a373-0050568a2d1a\"", \""type\"": \""Monitoring Returns\"", \""reference\"": \""LR093115\"", \""subject\"": \""Monitoring Returns:Slope Stability\"", \""status\"": \""Closed\"", \""licenceid\"": \""a549eb3d-3b5e-4f41-9caf-760892bf777d\"", \""licenceprofileid\"": \""c05d6935-9ea3-4293-9701-a683e71e1b02\"", \""datereceived\"": \""2025-04-03T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""2025 slope stability survey \"", \""doctype\"": \""Monitoring Returns\"", \""docsubtype\"": \""Slope Stability\"", \""decision\"": \""Assessed\"", \""description\"": \""Please see attached slope stability assessment for Dungarvan 2025. Please note Fehily Timoney has noted slope 1 is unstable this has previously been notified to the agency by Waterford City & County council and is under review with RPS. These works are tracking under CI002185. Fehily Timoney have also noted leaching at slope 6 which is tracking via INCI027218 it is recommended the ICW levels are reduced to eliminate this a contributing factor to this leaching works are ongoing to progress same and updates will be issued via INCI027218.\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6080d8ae-2d15-f011-a373-0050568a2d1a,AER 2024,2025-06-24T00:00:00+00:00,Annual Environmental Report,6080d8ae-2d15-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""6080d8ae-2d15-f011-a373-0050568a2d1a"", ""document_type"": ""Annual Environmental Report"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6080d8ae-2d15-f011-a373-0050568a2d1a"", ""title"": ""AER 2024"", ""description"": ""AER 2024"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""6080d8ae-2d15-f011-a373-0050568a2d1a\"", \""type\"": \""Annual Environmental Report\"", \""reference\"": \""LR093289\"", \""subject\"": \""Annual Environmental Report:AER\"", \""status\"": \""Closed\"", \""licenceid\"": \""521d76ab-203e-e111-ab87-0050568a69e2\"", \""licenceprofileid\"": \""27522e2d-55fb-4e50-8236-23d672c707ec\"", \""datereceived\"": \""2025-04-09T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""AER 2024\"", \""doctype\"": \""Annual Environmental Report\"", \""docsubtype\"": \""AER\"", \""decision\"": \""Assessed\"", \""description\"": \""AER 2024\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6743d048-f320-f011-a373-0050568a2d1a,AER 2024,2025-06-24T00:00:00+00:00,Annual Environmental Report,6743d048-f320-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""6743d048-f320-f011-a373-0050568a2d1a"", ""document_type"": ""Annual Environmental Report"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6743d048-f320-f011-a373-0050568a2d1a"", ""title"": ""AER 2024"", ""description"": ""AER 2024"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""6743d048-f320-f011-a373-0050568a2d1a\"", \""type\"": \""Annual Environmental Report\"", \""reference\"": \""LR093841\"", \""subject\"": \""Annual Environmental Report:AER\"", \""status\"": \""Closed\"", \""licenceid\"": \""1e2076ab-203e-e111-ab87-0050568a69e2\"", \""licenceprofileid\"": \""bd5c9f41-2d1c-4767-b32a-e05b19568076\"", \""datereceived\"": \""2025-04-24T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""AER 2024\"", \""doctype\"": \""Annual Environmental Report\"", \""docsubtype\"": \""AER\"", \""decision\"": \""Assessed\"", \""description\"": \""AER 2024\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6786c8a2-3232-f011-a373-0050568a2d1a,AER P0982-01,2025-06-24T00:00:00+00:00,Annual Environmental Report,6786c8a2-3232-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""6786c8a2-3232-f011-a373-0050568a2d1a"", ""document_type"": ""Annual Environmental Report"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6786c8a2-3232-f011-a373-0050568a2d1a"", ""title"": ""AER P0982-01"", ""description"": ""AER P0982-01 - RESUBMISSION"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""6786c8a2-3232-f011-a373-0050568a2d1a\"", \""type\"": \""Annual Environmental Report\"", \""reference\"": \""LR094460\"", \""subject\"": \""Annual Environmental Report:AER\"", \""status\"": \""Closed\"", \""licenceid\"": \""095c16e4-52f4-e611-a4f6-0050568a69e2\"", \""licenceprofileid\"": \""d594e998-52f4-e611-a4f6-0050568a69e2\"", \""datereceived\"": \""2025-05-16T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""AER P0982-01\"", \""doctype\"": \""Annual Environmental Report\"", \""docsubtype\"": \""AER\"", \""decision\"": \""Assessed\"", \""description\"": \""AER P0982-01 - RESUBMISSION\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7a92b7ee-f6c8-ef11-a36e-0050568a2d1a,Annual Landfill Gas Flare Monitoring Report 2024,2025-06-24T00:00:00+00:00,Monitoring Returns,7a92b7ee-f6c8-ef11-a36e-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""7a92b7ee-f6c8-ef11-a36e-0050568a2d1a"", ""document_type"": ""Monitoring Returns"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7a92b7ee-f6c8-ef11-a36e-0050568a2d1a"", ""title"": ""Annual Landfill Gas Flare Monitoring Report 2024"", ""description"": ""Dear Inspector,\r\n\r\nPlease find attached the Annual Landfill Gas Flare Stack emissions report for Rampere Landfill.\r\n\r\nThe report shows that the flare is operating well within all licenced parameters.\r\n\r\nRobert Kelly\r\nWicklow County Council "", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""7a92b7ee-f6c8-ef11-a36e-0050568a2d1a\"", \""type\"": \""Monitoring Returns\"", \""reference\"": \""LR089704\"", \""subject\"": \""Monitoring Returns:Landfill Gas\"", \""status\"": \""Closed\"", \""licenceid\"": \""6ac9e87d-7c61-e211-9eb5-0050568a69e2\"", \""licenceprofileid\"": \""ce558a21-cef0-4883-b109-27eb4b326e32\"", \""datereceived\"": \""2025-01-02T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""Annual Landfill Gas Flare Monitoring Report 2024\"", \""doctype\"": \""Monitoring Returns\"", \""docsubtype\"": \""Landfill Gas\"", \""decision\"": \""Assessed\"", \""description\"": \""Dear Inspector,\\r\\n\\r\\nPlease find attached the Annual Landfill Gas Flare Stack emissions report for Rampere Landfill.\\r\\n\\r\\nThe report shows that the flare is operating well within all licenced parameters.\\r\\n\\r\\nRobert Kelly\\r\\nWicklow County Council \"", \""documentcategory\"": \""Compliant\"", \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=806c45d1-0021-f011-a373-0050568a2d1a,AER 2024,2025-06-24T00:00:00+00:00,Annual Environmental Report,806c45d1-0021-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""806c45d1-0021-f011-a373-0050568a2d1a"", ""document_type"": ""Annual Environmental Report"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=806c45d1-0021-f011-a373-0050568a2d1a"", ""title"": ""AER 2024"", ""description"": ""AER 2024"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""806c45d1-0021-f011-a373-0050568a2d1a\"", \""type\"": \""Annual Environmental Report\"", \""reference\"": \""LR093858\"", \""subject\"": \""Annual Environmental Report:AER\"", \""status\"": \""Closed\"", \""licenceid\"": \""9c1d76ab-203e-e111-ab87-0050568a69e2\"", \""licenceprofileid\"": \""81f43613-76a7-4b58-98c1-91bdd67dda38\"", \""datereceived\"": \""2025-04-24T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""AER 2024\"", \""doctype\"": \""Annual Environmental Report\"", \""docsubtype\"": \""AER\"", \""decision\"": \""Assessed\"", \""description\"": \""AER 2024\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=85dcde7d-c834-f011-a373-0050568a2d1a,Kiln Shut Down,2025-06-24T00:00:00+00:00,Site Updates/Notifications,85dcde7d-c834-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""85dcde7d-c834-f011-a373-0050568a2d1a"", ""document_type"": ""Site Updates/Notifications"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=85dcde7d-c834-f011-a373-0050568a2d1a"", ""title"": ""Kiln Shut Down"", ""description"": ""Dear Mr. Duggan,\r\n\r\nThe kiln operation at Platin Works has shut down for a week, starting today.\r\n\r\nIf you have any questions relating to this, please do not hesitate to contact me.\r\n\r\nRegards,\r\nAlicia"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""85dcde7d-c834-f011-a373-0050568a2d1a\"", \""type\"": \""Site Updates/Notifications\"", \""reference\"": \""LR094526\"", \""subject\"": \""Site Updates/Notifications:Shut down periods\"", \""status\"": \""Closed\"", \""licenceid\"": \""0ba558cb-65ec-4e85-9f40-d71ac8cea586\"", \""licenceprofileid\"": \""d35a8ce3-2aa7-4796-b118-b9fd69335ba1\"", \""datereceived\"": \""2025-05-19T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""Kiln Shut Down\"", \""doctype\"": \""Site Updates/Notifications\"", \""docsubtype\"": \""Shut down periods\"", \""decision\"": \""Assessed\"", \""description\"": \""Dear Mr. Duggan,\\r\\n\\r\\nThe kiln operation at Platin Works has shut down for a week, starting today.\\r\\n\\r\\nIf you have any questions relating to this, please do not hesitate to contact me.\\r\\n\\r\\nRegards,\\r\\nAlicia\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=8c2727ef-921a-f011-a373-0050568a2d1a,AER 2024,2025-06-24T00:00:00+00:00,Annual Environmental Report,8c2727ef-921a-f011-a373-0050568a2d1a,2025-06-25T03:08:21.103452+00:00,2025-06-25T03:08:21.103452+00:00,"{""compliance_id"": ""8c2727ef-921a-f011-a373-0050568a2d1a"", ""document_type"": ""Annual Environmental Report"", ""document_url"": ""https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=8c2727ef-921a-f011-a373-0050568a2d1a"", ""title"": ""AER 2024"", ""description"": ""AER 2024"", ""submission_date"": """", ""status"": ""Closed"", ""metadata"": ""{\""licenseereturnid\"": \""8c2727ef-921a-f011-a373-0050568a2d1a\"", \""type\"": \""Annual Environmental Report\"", \""reference\"": \""LR093637\"", \""subject\"": \""Annual Environmental Report:AER\"", \""status\"": \""Closed\"", \""licenceid\"": \""221d76ab-203e-e111-ab87-0050568a69e2\"", \""licenceprofileid\"": \""6419d180-2b1a-43f5-b240-1be8876cc2d5\"", \""datereceived\"": \""2025-04-16T00:00:00\"", \""closeddate\"": \""2025-06-24T00:00:00\"", \""title\"": \""AER 2024\"", \""doctype\"": \""Annual Environmental Report\"", \""docsubtype\"": \""AER\"", \""decision\"": \""Assessed\"", \""description\"": \""AER 2024\"", \""documentcategory\"": null, \""complianceinvestigationid\"": null}""}"
