licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,leap_url,document_url
Blackrock - D0188,Complaint,Concerns surrounding untreated discharges in Blackrock,2025-07-04T00:00:00+00:00,Closed,2025-06-09T00:00:00,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826,https://leap.epa.ie/licence-profile/D0188/compliance/complaint/2fbb2526-5a4b-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=2fbb2526-5a4b-f011-a373-0050568a2d1a
Swords - D0024,Complaint,Possible sewage leak into Broadmeadow Estuary,2025-07-04T00:00:00+00:00,Closed,2025-06-07T00:00:00,D0024,b6f6a05d-2001-434b-bbf5-49e2a3c8e6c2,https://leap.epa.ie/licence-profile/D0024/compliance/complaint/6dc2dfff-2945-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=6dc2dfff-2945-f011-a373-0050568a2d1a
Blackrock - D0188,Complaint,"Increasing levels of algae, waste, and pollution affecting Dundalk Bay and Balckrock",2025-07-04T00:00:00+00:00,Closed,2025-06-05T00:00:00,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826,https://leap.epa.ie/licence-profile/D0188/compliance/complaint/802909e3-604b-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=802909e3-604b-f011-a373-0050568a2d1a
Kepak Clonee t/a Kepak Ballybay - P0803,Incident,COD recorded from SW2 as 56mg on the 27 of May. Results received on the 5th of June,2025-07-04T00:00:00+00:00,Closed,2025-06-05T00:00:00,P0803,e7300aeb-e8ca-4da8-adc3-11decfcc50fc,https://leap.epa.ie/licence-profile/P0803/compliance/incident/a71fd442-f741-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=a71fd442-f741-f011-a373-0050568a2d1a
Aughinish - S0026,Site Updates/Notifications,Notice of intent to dredge,2025-07-04T00:00:00+00:00,Open,2025-07-04T00:00:00,S0026,ede61a83-98a6-e611-8d41-0050568a69e2,https://leap.epa.ie/licence-profile/S0026/compliance/return/5ce6e47c-c658-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=5ce6e47c-c658-f011-a373-0050568a2d1a
Corranure Landfill - W0077,Site Updates/Notifications,Licensee Public Response - SV31809,2025-07-04T00:00:00+00:00,Open,2025-07-04T00:00:00,W0077,f65c34d6-7c95-4321-afb4-5d17f6ce575f,https://leap.epa.ie/licence-profile/W0077/compliance/return/673400ed-d858-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=673400ed-d858-f011-a373-0050568a2d1a
Mill Road Estates Limited - W0156,Site Closure and Surrender,ICA Report including Hydro Risk Assessment,2025-07-04T00:00:00+00:00,Closed,2025-03-27T00:00:00,W0156,26a65f3e-523e-462b-8eb2-205e4fae525d,https://leap.epa.ie/licence-profile/W0156/compliance/return/cfbd222a-230b-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=cfbd222a-230b-f011-a373-0050568a2d1a
Aughinish - S0026,Site Updates/Notifications,Notice of intent to dredge,2025-07-04T00:00:00+00:00,Closed,2025-07-04T00:00:00,S0026,ede61a83-98a6-e611-8d41-0050568a69e2,https://leap.epa.ie/licence-profile/S0026/compliance/return/e33af832-bc58-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=e33af832-bc58-f011-a373-0050568a2d1a
Bord na Móna Energy Limited (Blackwater) - P0502,Requests for Approval and Site Reports,Bloomhill East Rehabilitation Plan,2025-07-03T00:00:00+00:00,Closed,2025-05-12T00:00:00,P0502,1b08ee9f-f89c-41d4-a516-4c3e13079a9f,https://leap.epa.ie/licence-profile/P0502/compliance/return/2d9e3421-1d2f-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2d9e3421-1d2f-f011-a373-0050568a2d1a
Carbery Food Ingredients Limited - P0390,Monitoring Returns,Monthly Report to the EPA May 2025,2025-07-03T00:00:00+00:00,Closed,2025-06-09T00:00:00,P0390,4f0d2033-a3d6-41f2-a3eb-48d299b58841,https://leap.epa.ie/licence-profile/P0390/compliance/return/d1619ff8-3545-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=d1619ff8-3545-f011-a373-0050568a2d1a
